"검색조건 - 사고년도:2014~2014; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2014010100100005,2014년 1월 1일 00시,수요일,서울특별시 구로구 오류동,부상신고사고,0,0,0,2,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,65세,부상신고
2014010100100029,2014년 1월 1일 01시,수요일,서울특별시 성동구 마장동,중상사고,0,1,3,0,차대차 - 기타,안전운전불이행,기타,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,54세,중상
2014010100100050,2014년 1월 1일 02시,수요일,서울특별시 광진구 광장동,중상사고,0,1,0,4,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,여,26세,부상신고
2014010100100053,2014년 1월 1일 02시,수요일,서울특별시 구로구 개봉동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,25세,경상
2014010100100054,2014년 1월 1일 02시,수요일,서울특별시 양천구 목동,경상사고,0,0,2,0,차대차 - 측면직각충돌,기타,건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,승용,남,37세,경상
2014010100100104,2014년 1월 1일 04시,수요일,서울특별시 서초구 방배동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전거리미확보,기타,맑음,기타 - 기타,화물,남,54세,상해없음,승용,남,34세,경상
2014010100100116,2014년 1월 1일 05시,수요일,서울특별시 관악구 신림동,중상사고,0,1,2,0,차대차 - 정면충돌,신호위반,기타,기타,교차로 - 교차로안,승용,남,25세,상해없음,승용,남,61세,경상
2014010100100156,2014년 1월 1일 07시,수요일,서울특별시 관악구 신림동,중상사고,0,1,3,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,21세,상해없음,승용,남,47세,경상
2014010100100158,2014년 1월 1일 07시,수요일,서울특별시 송파구 석촌동,사망사고,1,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,자전거,남,73세,사망
2014010100100159,2014년 1월 1일 07시,수요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,45세,경상
2014010100100168,2014년 1월 1일 08시,수요일,서울특별시 중랑구 중화동,부상신고사고,0,0,0,1,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,승용,남,50세,상해없음
2014010100100181,2014년 1월 1일 09시,수요일,서울특별시 성북구 하월곡동,중상사고,0,2,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21세,상해없음,승용,여,57세,상해없음
2014010100100322,2014년 1월 1일 18시,수요일,서울특별시 용산구 신창동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,67세,상해없음,승용,남,35세,경상
2014010100100354,2014년 1월 1일 19시,수요일,서울특별시 마포구 망원동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,43세,상해없음,보행자,여,66세,경상
2014010100100398,2014년 1월 1일 21시,수요일,서울특별시 은평구 갈현동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,원동기,남,17세,경상
2014010100100417,2014년 1월 1일 22시,수요일,서울특별시 성동구 마장동,경상사고,0,0,1,0,차대차 - 측면직각충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로부근,승용,여,36세,상해없음,승용,남,44세,경상
2014010200100014,2014년 1월 2일 02시,목요일,서울특별시 동대문구 전농동,중상사고,0,2,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,32세,상해없음,보행자,남,57세,중상
2014010200100068,2014년 1월 2일 08시,목요일,서울특별시 마포구 상수동,경상사고,0,0,1,0,차대차 - 측면직각충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,35세,상해없음,승용,남,56세,경상
2014010200100421,2014년 1월 2일 21시,목요일,서울특별시 광진구 군자동,중상사고,0,1,0,1,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,49세,상해없음,승용,남,57세,부상신고
2014010200100447,2014년 1월 2일 22시,목요일,서울특별시 용산구 한강로3가,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,승용,남,43세,경상
2014010200100470,2014년 1월 2일 23시,목요일,서울특별시 마포구 신공덕동,중상사고,0,2,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,승용,남,30세,상해없음,승용,남,55세,경상
2014010300100001,2014년 1월 3일 00시,금요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 측면직각충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,29세,상해없음,승용,남,65세,경상
2014010300100027,2014년 1월 3일 02시,금요일,서울특별시 서초구 서초동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,40세,상해없음,승용,남,30세,경상
2014010300100028,2014년 1월 3일 02시,금요일,서울특별시 서초구 양재동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,승용,남,34세,경상
2014010300100039,2014년 1월 3일 03시,금요일,서울특별시 도봉구 방학동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,52세,경상
2014010300100087,2014년 1월 3일 07시,금요일,서울특별시 강남구 일원동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,남,59세,경상
2014010300100436,2014년 1월 3일 21시,금요일,서울특별시 구로구 고척동,경상사고,0,0,2,1,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,47세,기타불명,승용,남,53세,경상
2014010300100437,2014년 1월 3일 21시,금요일,서울특별시 은평구 진관동,경상사고,0,0,3,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,32세,기타불명,승용,남,50세,경상
2014010300100466,2014년 1월 3일 22시,금요일,서울특별시 송파구 문정동,중상사고,0,1,0,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,37세,중상,화물,남,38세,상해없음
2014010400100003,2014년 1월 4일 00시,토요일,서울특별시 송파구 거여동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,43세,상해없음,승용,여,53세,경상
2014010400100035,2014년 1월 4일 02시,토요일,서울특별시 강남구 신사동,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,기타,맑음,교차로 - 교차로부근,승용,남,45세,상해없음,승용,남,56세,경상
2014010400100036,2014년 1월 4일 02시,토요일,서울특별시 구로구 온수동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,41세,상해없음,승용,남,68세,경상
2014010400100054,2014년 1월 4일 04시,토요일,서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,남,32세,경상
2014010400100061,2014년 1월 4일 05시,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,특수,남,56세,경상
2014010400100080,2014년 1월 4일 06시,토요일,서울특별시 구로구 구로동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,보행자,남,59세,경상
2014010400100308,2014년 1월 4일 17시,토요일,서울특별시 강동구 성내동,경상사고,0,0,3,0,차대차 - 측면직각충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,81세 이상,상해없음,승용,남,38세,경상
2014010400100448,2014년 1월 4일 21시,토요일,서울특별시 강남구 대치동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,여,42세,경상
2014010400100501,2014년 1월 4일 23시,토요일,서울특별시 관악구 신림동,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,60세,경상
2014010500100003,2014년 1월 5일 00시,일요일,서울특별시 영등포구 대림동,중상사고,0,1,1,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,21세,상해없음,원동기,남,48세,경상
2014010500100010,2014년 1월 5일 01시,일요일,서울특별시 금천구 시흥동,중상사고,0,1,0,1,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,43세,부상신고,승용,여,30세,중상
2014010500100034,2014년 1월 5일 03시,일요일,서울특별시 중랑구 면목동,중상사고,0,1,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,승용,남,57세,경상
2014010500100056,2014년 1월 5일 05시,일요일,서울특별시 중구 신당동,중상사고,0,1,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,58세,중상
2014010500100064,2014년 1월 5일 06시,일요일,서울특별시 성북구 석관동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,35세,상해없음,승용,남,58세,경상
