"검색조건 - 사고년도:2015~2017; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015010100100041,2015년 1월 1일 01시,목요일,서울특별시 마포구 서교동,중상사고,0,1,3,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,24세,경상
2015010100100065,2015년 1월 1일 02시,목요일,서울특별시 송파구 오금동,중상사고,0,1,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,35세,상해없음,화물,남,43세,중상
2015010100100083,2015년 1월 1일 03시,목요일,서울특별시 마포구 상암동,중상사고,0,3,2,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,24세,경상,승용,남,43세,경상
2015010100100100,2015년 1월 1일 04시,목요일,서울특별시 강남구 청담동,중상사고,0,2,0,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,29세,중상
2015010100100116,2015년 1월 1일 05시,목요일,서울특별시 금천구 시흥동,경상사고,0,0,3,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,50세,경상
2015010100100127,2015년 1월 1일 06시,목요일,서울특별시 중랑구 묵동,경상사고,0,0,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음,승용,남,64세,경상
2015010100100128,2015년 1월 1일 06시,목요일,서울특별시 강남구 대치동,부상신고사고,0,0,0,3,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,승용,여,49세,부상신고
2015010100100426,2015년 1월 1일 23시,목요일,서울특별시 관악구 봉천동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,41세,상해없음,승용,남,61세,경상
2015010100100427,2015년 1월 1일 23시,목요일,서울특별시 구로구 가리봉동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,보행자,남,41세,중상
2015010200100463,2015년 1월 2일 22시,금요일,서울특별시 중랑구 상봉동,경상사고,0,0,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,26세,경상
2015010200100464,2015년 1월 2일 22시,금요일,서울특별시 강남구 삼성동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,46세,상해없음
2015010300100004,2015년 1월 3일 00시,토요일,서울특별시 강북구 미아동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도상,이륜,남,50세,상해없음,보행자,남,22세,중상
2015010300100006,2015년 1월 3일 00시,토요일,서울특별시 송파구 문정동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,화물,남,35세,경상
2015010300100037,2015년 1월 3일 02시,토요일,서울특별시 강동구 천호동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,20세 이하,상해없음,승용,남,30세,경상
