사고일시,요일,사고유형,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,사고날짜,사고시간
2014-01-01 00:00:00,수요일,차대차,건조,맑음,단일로,승용,31,상해없음,승용,남,65.0,부상신고,2014-01-01,00:00:00
2014-01-01 01:00:00,수요일,차대차,기타,맑음,단일로,승용,32,상해없음,승용,남,54.0,중상,2014-01-01,01:00:00
2014-01-01 02:00:00,수요일,차대차,건조,맑음,단일로,승용,26,상해없음,승용,여,26.0,부상신고,2014-01-01,02:00:00
2014-01-01 02:00:00,수요일,차대차,건조,맑음,단일로,승용,29,상해없음,승용,남,25.0,경상,2014-01-01,02:00:00
2014-01-01 02:00:00,수요일,차대차,건조,맑음,교차로,승용,42,상해없음,승용,남,37.0,경상,2014-01-01,02:00:00
2014-01-01 05:00:00,수요일,차대차,기타,기타,교차로,승용,25,상해없음,승용,남,61.0,경상,2014-01-01,05:00:00
2014-01-01 07:00:00,수요일,차대차,건조,맑음,교차로,승용,21,상해없음,승용,남,47.0,경상,2014-01-01,07:00:00
2014-01-01 07:00:00,수요일,차대차,건조,맑음,단일로,승용,21,상해없음,자전거,남,73.0,사망,2014-01-01,07:00:00
2014-01-01 07:00:00,수요일,차대차,건조,맑음,단일로,승용,23,상해없음,승용,남,45.0,경상,2014-01-01,07:00:00
2014-01-01 08:00:00,수요일,차대차,건조,맑음,교차로,승용,28,상해없음,승용,남,50.0,상해없음,2014-01-01,08:00:00
2014-01-01 09:00:00,수요일,차대차,건조,맑음,교차로,승용,21,상해없음,승용,여,57.0,상해없음,2014-01-01,09:00:00
2014-01-01 18:00:00,수요일,차대차,건조,맑음,교차로,승용,67,상해없음,승용,남,35.0,경상,2014-01-01,18:00:00
2014-01-01 19:00:00,수요일,차대사람,건조,맑음,교차로,승용,43,상해없음,보행자,여,66.0,경상,2014-01-01,19:00:00
2014-01-01 21:00:00,수요일,차대차,건조,맑음,단일로,승용,61,상해없음,이륜,남,17.0,경상,2014-01-01,21:00:00
2014-01-01 22:00:00,수요일,차대차,건조,맑음,교차로,승용,36,상해없음,승용,남,44.0,경상,2014-01-01,22:00:00
2014-01-02 02:00:00,목요일,차대사람,건조,맑음,단일로,화물,32,상해없음,보행자,남,57.0,중상,2014-01-02,02:00:00
2014-01-02 08:00:00,목요일,차대차,건조,맑음,교차로,승용,35,상해없음,승용,남,56.0,경상,2014-01-02,08:00:00
2014-01-02 21:00:00,목요일,차대차,건조,맑음,교차로,승용,49,상해없음,승용,남,57.0,부상신고,2014-01-02,21:00:00
2014-01-02 22:00:00,목요일,차대차,건조,맑음,교차로,승용,33,상해없음,승용,남,43.0,경상,2014-01-02,22:00:00
2014-01-02 23:00:00,목요일,차대차,건조,맑음,단일로,승용,30,상해없음,승용,남,55.0,경상,2014-01-02,23:00:00
2014-01-03 00:00:00,금요일,차대차,건조,맑음,단일로,승용,29,상해없음,승용,남,65.0,경상,2014-01-03,00:00:00
2014-01-03 02:00:00,금요일,차대차,건조,맑음,교차로,승용,40,상해없음,승용,남,30.0,경상,2014-01-03,02:00:00
